epoch,step,d_loss,g_loss,elapsed
1,1972,0.690888,3.582334,410.0
2,3944,0.732822,2.959775,827.2
3,5916,0.641067,3.017829,1244.6
4,7888,0.536879,3.220011,1662.0
5,9860,0.494664,3.330487,2079.4
6,11832,0.458772,3.389091,2498.3
7,13804,0.429428,3.525099,2915.3
8,15776,0.407555,3.631421,3332.1
9,17748,0.418971,3.673609,3748.9
10,19720,0.383969,3.695377,4165.1
11,21692,0.387952,3.740078,4582.4
12,23664,0.345558,3.784108,4998.9
13,25636,0.373523,3.837459,5415.3
14,27608,0.329133,3.903816,5831.5
15,29580,0.346277,3.925665,6248.2
16,31552,0.340620,3.929684,6666.4
17,33524,0.322856,4.025324,7082.5
18,35496,0.317825,4.147040,7497.9
19,37468,0.294140,4.090375,7913.7
20,39440,0.309068,4.263837,8329.5
21,41412,0.279256,4.191250,8748.0
22,43384,0.282061,4.275825,9163.9
23,45356,0.290779,4.358357,9580.0
24,47328,0.269958,4.375769,9995.8
25,49300,0.259696,4.407049,10411.5
