epoch,step,d_loss,g_loss,elapsed
1,493,1.062610,1.959050,403.8
2,986,1.111058,1.544083,816.5
3,1479,1.312384,0.971082,1230.6
4,1972,1.196341,1.316088,1644.7
5,2465,1.225910,1.201458,2059.3
6,2958,1.209367,1.335611,2473.7
7,3451,1.194198,1.352507,2886.5
8,3944,1.216649,1.284461,3299.2
9,4437,1.179427,1.350319,3711.4
10,4930,1.201059,1.270345,4124.2
11,5423,1.214513,1.257630,4538.9
12,5916,1.186655,1.278474,4951.4
13,6409,1.175250,1.312718,5364.7
14,6902,1.165302,1.296205,5777.9
15,7395,1.156376,1.349249,6190.4
