epoch,step,d_loss,g_loss,elapsed
1,1972,0.186044,0.568456,418.5
2,3944,0.191428,0.407186,844.5
3,5916,0.167116,0.411654,1269.7
4,7888,0.149201,0.423959,1695.2
5,9860,0.135111,0.419496,2120.5
6,11832,0.122358,0.417018,2547.8
7,13804,0.151856,0.375670,2974.5
8,15776,0.109118,0.418984,3399.8
9,17748,0.146286,0.366102,3824.8
10,19720,0.109654,0.414175,4250.1
11,21692,0.145633,0.362760,4676.8
12,23664,0.095795,0.414323,5101.5
13,25636,0.114983,0.394942,5526.2
14,27608,0.091302,0.419321,5949.7
15,29580,0.138630,0.364766,6375.0
16,31552,0.110820,0.393943,6800.3
17,33524,0.084817,0.416859,7223.2
18,35496,0.083411,0.421504,7645.3
19,37468,0.079441,0.422993,8068.3
20,39440,0.076926,0.426932,8491.2
21,41412,0.073728,0.428554,8915.5
22,43384,0.071464,0.430878,9337.2
23,45356,0.070150,0.432223,9759.6
24,47328,0.144789,0.349436,10182.4
25,49300,0.065538,0.430320,10604.8
26,51272,0.222377,0.241812,11027.8
27,53244,0.097886,0.382303,11449.8
28,55216,0.064520,0.431111,11873.7
29,57188,0.133146,0.374044,12295.7
