epoch,step,d_loss,g_loss,elapsed
1,493,0.129625,0.502010,414.0
2,986,0.174934,0.363888,828.3
3,1479,0.174303,0.359676,1242.8
4,1972,0.175630,0.369830,1656.7
5,2465,0.178423,0.347261,2070.7
6,2958,0.182950,0.359157,2490.5
7,3451,0.177501,0.340426,2903.7
8,3944,0.178333,0.329041,3317.4
9,4437,0.172412,0.331330,3731.3
10,4930,0.172824,0.325718,4144.8
11,5423,0.172991,0.326325,4559.8
12,5916,0.181337,0.314281,4973.6
13,6409,0.172582,0.311489,5387.7
14,6902,0.175665,0.307151,5801.4
15,7395,0.164447,0.314440,6214.9
